lat,lon,total_cost_0,total_cost_2020,total_cost_2050,total_cost_future_2030,total_cost_future_2040,total_cost_future_2050,pop,Country
12.227169,98.096284,261410.72498480376,261410.7249850209,261410.72498502163,261410.72498490778,261410.44991380506,261407.252032523,1862.0,Myanmar
12.232426,121.07819,262990.946740157,262990.9467402457,262990.9467401545,262983.1382632295,262952.3961281747,262897.6670448009,8891.0,Philippines
12.348691,98.126746,40136.58738666054,40136.587386543244,40136.58738654301,40136.58738659058,40136.47734491454,40135.99488034003,77.0,Myanmar
12.357567,98.464014,270461.07004238793,270461.0700423877,270461.070042388,270461.07004238805,270460.7930747184,270449.9817128405,628.0,Myanmar
12.358609,98.023723,260310.45681456022,260310.45681419707,260310.4568143164,260310.45681434637,260309.39979987586,260306.99337632855,2042.0,Myanmar
12.396371,92.936716,264179.2493598808,264179.2493598012,264179.249359861,264162.862555728,264118.1459434065,264059.81794250174,1982.0,India
12.407416,122.039667,268505.18714213534,268505.1871421181,268505.18714221637,267890.85480707564,267631.29980883806,267349.8024084345,157653.0,Philippines
12.407967,122.576283,265509.1498891904,265509.1498893389,265509.1498893119,265054.3132773735,264827.30779966403,264524.8819541771,66588.0,Philippines
12.410115,124.262849,257761.3766004206,257761.37660042068,257761.37660021754,257659.03556318168,257569.81775211653,257459.65492346667,8298.0,Philippines
12.428152,124.162348,257658.5725405868,257658.57254071115,257658.57254050026,257529.73043065445,257436.48938387772,257322.29047313586,9732.0,Philippines
12.452036,98.491244,270950.8035933254,270950.80359332473,270950.8035931024,270950.8035933847,270950.8035933671,270950.80359339353,13928.0,Myanmar
12.479535,-61.453587,190766.22080587078,190766.220805871,190766.2208058387,188684.34484473907,188108.99879725825,187456.2027676875,5368.0,Grenada
12.503017,98.373162,267245.7358199167,267245.7358197196,267245.7358199166,267245.73581986735,267245.4965923185,267228.5660752988,14177.0,Myanmar
12.507783,53.869424,258721.20936560305,258721.20936560747,258721.20936561056,258329.71666099655,258145.5268642237,257938.39405439745,129376.0,Yemen
12.509315,-69.970276,182864.9122605094,182864.91226050007,182864.91226051643,182505.07104864274,182424.95005487677,182310.42949541548,104958.0,Aruba
12.5229,98.253668,263187.1586881077,263187.1586880995,263187.158688197,263076.96572129894,263016.91055783565,262948.3334948046,621.0,Myanmar
12.53295,123.696323,261929.91116243132,333664.6102282165,333725.9303470293,330120.4603080255,326893.80902767286,323223.21158644225,79025.0,Philippines
12.541817,122.289032,266389.4793130123,266389.4793130553,266389.4793134002,265888.45818902284,265620.4394705292,265340.32231570233,27407.0,Philippines
12.555403,124.434613,256515.83934324898,328313.57791693456,330045.35566662764,325491.52890109934,322266.07082660886,318707.27034854225,1213.0,Philippines
12.575158,97.850243,38676.35616912518,38676.35616914459,38676.35616922227,38674.30803293697,38666.46172768115,38656.70256304255,74.0,Myanmar
12.601283,124.379554,257062.6529274957,328405.12017666525,330368.51223773806,325863.409477455,322668.3941640137,319135.4398340402,1344.0,Philippines
12.602266,92.830197,263186.7878223079,374359.73958159966,369104.3860883831,349020.87756121485,343508.0783493613,337968.6858176061,53904.0,India
12.643202,125.057609,254717.73945356795,326590.13235538197,328943.21550817194,325408.9951212785,322115.0864271553,318081.66507094714,3303.0,Philippines
12.667838,124.376953,257461.00395895896,327843.811794242,330561.469216926,326194.3682755921,322960.9400723572,319361.4643184836,5013.0,Philippines
12.805712,122.054743,265582.9217888371,265582.9217888812,265582.92178880225,265172.7871251664,264947.08833011135,264717.8834128603,10992.0,Philippines
12.899128,92.688139,90922.24698268654,194522.78573930514,192978.02024684037,186108.28839227263,184169.6878265499,182214.446625556,173.0,India
12.925441,121.708959,260408.57515262635,260408.5751525974,260408.57515262754,260195.59498257557,260071.77638817058,259942.10163033663,3781.0,Philippines
12.938495,122.069948,264761.92498836084,264761.9249882788,264761.9249882763,264517.791203376,264350.6500734832,264167.0653758873,6981.0,Philippines
12.956766,121.066657,254217.7759752731,254217.77597532625,254217.77597512162,254210.27022109093,254122.5447484489,253898.8236027871,1316901.0,Philippines
12.976687,123.110492,263778.9963811773,263778.99638115225,334879.4811776314,331992.9685535948,329080.40941064665,325630.7285394714,65574.0,Philippines
13.011618,-61.23236,189242.64581172558,189242.64581188653,189242.6458118657,187216.6527936086,186507.90793438422,185729.96869052152,4169.0,Saint Vincent and the Grenadines
13.092869,98.275163,259497.19828485273,259497.19828490063,259497.19828463462,259435.95318464626,259379.07180589082,259311.08200661314,1082.0,Myanmar
13.172262,-59.55639,191473.75075805065,191473.75075712692,191473.75075795123,189428.64038523176,188830.0689447703,188129.53953710248,288594.0,Barbados
13.190003,-87.711535,215792.30695986084,215792.3069592057,215792.30695922225,214968.41543428993,214747.62318754313,214532.48847688865,1648.0,El Salvador
13.202133,124.151862,253632.85633991775,327004.1624145629,330360.7655897034,326380.1413621513,322960.93164842343,318982.62343075254,5295.0,Philippines
13.2343,92.928849,261349.87283385312,373403.0034939804,369215.90672606044,348875.63583676855,343208.1019615604,337471.2753687601,38447.0,India
13.251309,-61.188975,189415.67880338003,189415.67880549113,189415.6788033889,187384.69770394554,186692.33272614196,185968.1427753789,81984.0,Saint Vincent and the Grenadines
13.255722,123.998821,254118.01237469283,328186.4150670414,331271.9297303936,326725.9442782908,323091.4194261422,318968.87080470915,20517.0,Philippines
13.272126,-87.638813,213527.17649899988,213527.17649904115,213527.17649904234,213527.17650007643,213527.17649907724,213527.1764989033,5702.0,Honduras
13.296411,123.878741,255916.617576097,329754.131387306,332486.9343639446,327350.49911495246,323701.47203759465,319586.2657250436,19141.0,Philippines
13.37505,123.809105,255756.04273194954,331554.7707691565,333755.451277477,328167.3232299069,324474.86341559945,320283.99570862396,18378.0,Philippines
13.389792,121.969236,261861.29020314082,261861.29020336716,261861.29020331838,261752.79445987602,261638.92783817434,261485.07926475792,229117.0,Philippines
13.443537,144.777038,261040.96585221522,261040.9658523989,261040.96585237156,260937.32647937632,260890.64661373477,260844.80565116263,160362.0,Guam
13.550526,121.075897,264521.2036866989,264521.20368669956,264521.2036864646,264471.3723118546,264403.3423323712,264304.96354414884,5776.0,Philippines
13.647464,120.892359,264480.41408939887,264480.4140895391,264480.41408937296,264478.39204369136,264471.02083309356,264458.4961144164,11166.0,Philippines
13.6523,120.376726,268064.4567331481,268064.45673301583,268064.45673324866,268044.72034242994,268002.16111131967,267919.8436807568,1602.0,Philippines
13.714719,42.728512,333273.8676175454,333273.8676175454,333233.275428896,330111.64975341654,324773.3921235853,318501.816579868,965.0,Yemen
13.781429,124.23644,257219.58228777396,334945.225373837,328659.07955279865,324907.6974374894,321671.58771126217,317840.69496985496,258417.0,Philippines
13.781768,120.183411,268978.30871725106,268978.3087172435,268978.3087170287,268929.8966165255,268818.25731515593,268700.1208405284,18586.0,Philippines
13.80446,120.301572,219932.67358050557,219932.67358055146,219932.6735805057,219905.76320566994,219850.12730967609,219763.52264890025,409.0,Philippines
13.841637,-16.704367,231488.4670007264,231488.4670007209,231488.46700072254,225465.33418573492,223883.10092182946,222205.8402288892,11002.0,Senegal
13.898433,-60.966774,189019.55944269866,188963.51469132505,189019.55944288053,185702.55968721065,184515.91093392688,183256.20210558717,156151.0,Saint Lucia
13.912642,121.76848,260151.3717892951,260151.37178940402,332487.19630621397,328417.0419555638,325701.46572923195,322770.1410534083,13937.0,Philippines
13.935021,123.826387,258372.99691218307,338211.43904966756,331272.99351388373,326794.322474041,323385.17915462714,319513.9157559174,1646.0,Philippines
13.9402,123.636976,259466.1237384145,330408.1424172489,331185.5963829564,326795.4975678231,323432.734407069,319608.017166338,2718.0,Philippines
13.959632,124.330303,259695.32175480193,333568.4874978694,327852.71320200525,324368.03694510757,321477.6513105294,317987.3770112684,2256.0,Philippines
13.999057,42.746197,335159.4414511105,335159.44137008744,335116.5890078647,331931.70535948593,327823.4174196823,321484.16290480597,1056.0,Yemen
14.110029,122.047103,258600.07073553337,258600.07073589263,329941.5228084048,326251.7876315478,323915.2055514572,321348.5095306301,63316.0,Philippines
14.111602,93.365633,261650.22177068883,375438.9580794397,371865.3239508094,350502.9482883391,344703.08384901105,338911.3207934685,1328.0,India
14.157435,145.214092,260941.02261858224,260941.02261860747,260941.02261849344,260936.91576847326,260919.8721712629,260903.40045534194,1889.0,Northern Mariana Islands
14.282846,121.825389,257654.7780358532,257654.77803578373,332104.4099442646,328360.4830290542,325780.18364483246,322954.83303929307,3419.0,Philippines
14.46573,122.932761,259669.5399188242,326023.07413512794,325800.7339135587,323426.83810742985,321710.40471086395,318846.703254808,4090.0,Philippines
14.652747,-61.018115,189328.88405392913,189328.88405347717,189328.88405363186,186240.7357099119,185352.75781442304,184292.83646807703,350805.0,Martinique
14.700431,122.376336,259754.74599304018,327417.4015287077,328262.75741351274,325361.81658611,323580.0578039307,320832.69257582317,10353.0,Philippines
14.795371,122.185675,258987.16007316642,327979.9556939957,329370.50731734344,326169.2073503019,324235.98895471025,321566.11276385374,9585.0,Philippines
14.851555,-24.705479,215749.7658065069,215749.76580652068,215749.76580655132,207444.54055490973,205018.87976909315,202549.95021462382,5602.0,Cape Verde
14.858792,122.044401,258638.54458070805,328410.80217976996,330018.8621514329,326877.005358246,324654.61683621095,321986.2337272712,1035.0,Philippines
14.872188,121.9386,259431.032479205,328950.4479858274,330780.1956391188,327535.3196556361,325093.08765063767,322316.29649879364,61467.0,Philippines
14.928326,-24.384327,217352.6078850258,217352.60788628156,217352.60788645802,209343.63614598903,207007.42953530222,204634.73473404016,36718.0,Cape Verde
15.013351,145.631566,258622.56372047827,258622.56372044192,258622.56372047833,258620.22713792755,258613.7651704674,258546.0841498966,2989.0,Northern Mariana Islands
15.083736,-23.624804,216385.46470673045,216385.46470631,216385.46470635134,209034.76629378693,207299.64582783368,205327.64029594342,311137.0,Cape Verde
15.153061,40.258949,61400.720906954164,61400.72087222814,54330.34471096668,52289.54070212736,51396.41521771314,50490.37514654665,69.0,Eritrea
15.189129,145.753963,257769.25620193637,257769.2562019755,257769.2562019256,257767.28084293133,257729.44198595046,257640.29119031184,43540.0,Northern Mariana Islands
15.217963,-23.160626,215997.4805628804,215997.480560513,215997.48054743762,207261.4844944756,205203.75369166618,203015.85561843426,7519.0,Cape Verde
15.434552,-61.349988,190077.06504635097,190077.06504627084,190077.06504632975,189305.98784199075,188777.3515058366,188230.89650569903,66329.0,Dominica
15.684372,40.145261,364016.4571641666,364016.4593095344,371151.28830708156,352582.50867270207,347231.25445867097,341685.04217231984,9319.0,Eritrea
15.696557,40.187304,363975.7535599469,363975.7531700224,370673.1663541661,352108.5204241076,346740.19819972076,341154.82513219595,9319.0,Eritrea
15.816815,95.008203,267196.4279524551,267196.42795228935,267196.4279522893,266687.5292677151,266458.4291401986,266066.4306627741,1600.0,Myanmar
15.851631,94.939991,267750.3243886108,267750.324388699,267750.32438874117,267274.1702651099,267059.878340854,266707.0932501436,5085.0,Myanmar
15.910332,39.641525,370781.553301855,370781.5465414742,375979.74580549984,354584.70923942374,348717.4330371311,342585.7467671271,689.0,Eritrea
15.932114,-61.268569,197204.89424786653,197204.89424788737,197204.8942479421,196256.8340663637,195888.35580578388,195452.85646985326,12285.0,Guadeloupe
15.952408,108.515971,89854.03979050675,89854.03979050671,89854.03979050685,89828.10673350428,89813.18731975814,89789.5489700435,174.0,Vietnam
16.039703,40.055947,367564.7094034557,367564.7100659999,372691.8315253515,353301.3358255367,347672.26290217944,341829.048683522,1350.0,Eritrea
16.042384,40.162027,367982.2733030369,367982.27156488434,372147.9085250853,352583.4989294412,346895.1576951116,340993.1848803275,1350.0,Eritrea
16.097974,-86.932004,199771.68969258858,199771.68969261379,199771.68969274272,199081.73288338628,198706.17242352804,198297.78615948276,2705.0,Honduras
16.098296,-22.813981,212154.2065984258,212007.56520820578,212007.56520820584,203261.5554260405,200795.45775122353,198141.31587774685,17515.0,Cape Verde
16.283387,42.476761,67504.77761095205,67504.7780154478,67455.10171430663,58402.286889005,56634.49596563368,54880.84551387586,64.0,Saudi Arabia
16.290492,119.977374,263400.1866038607,263400.18660409504,263400.1866038571,263184.73373541737,263094.51032258704,262975.14449317113,29581.0,Philippines
16.32098,-61.048268,199105.39861031985,199105.39861022925,199105.3986102189,198859.65481609257,198515.54832729895,198162.73375123757,1671.0,Guadeloupe
16.366497,-86.434535,200469.28736839653,200469.28736842697,200469.28736826594,199932.91551815753,199561.02458900574,199170.86998263805,51544.0,Honduras
16.399079,119.93508,263601.8997653904,263601.89976563526,263601.89976569964,263601.8997655498,263595.4017532835,263546.1291806382,7635.0,Philippines
16.468611,-85.883961,199516.5508574652,199516.5508574833,199392.04895072023,198809.67839557043,198487.91116788433,198146.7170704905,4063.0,Honduras
16.598519,-24.256203,204513.87958946166,204360.65262293335,204513.8795907586,195614.2277661176,193191.26012920163,190776.745493091,11505.0,Cape Verde
16.633759,42.020711,262564.6804525057,262564.68005333375,262531.09242928727,249205.93006035365,245529.88360240526,241774.32996636594,291.0,Saudi Arabia
16.729716,42.011832,379703.9024456502,379703.901160446,379666.77017729916,356898.87066353427,350659.22224933095,344247.9918586337,7669.0,Saudi Arabia
16.737222,-22.931423,210152.8650095834,209503.95052524947,210152.86500958458,199680.9762872285,196859.79093269096,193935.4254896972,24797.0,Cape Verde
16.739452,-62.189685,206897.39415319322,206897.39415312477,206897.39415322567,206234.4350563494,205886.35329453833,205417.11256960727,5187.0,Montserrat
16.84552,-24.967814,212206.91643540264,212206.91643521696,212206.91642912908,200584.5234548487,198013.80503752048,195145.63090471528,83567.0,Cape Verde
16.863245,41.917753,379228.36152906786,379228.35824044753,379203.389402219,356519.72121007054,350280.2166751299,343864.6485860868,1954.0,Saudi Arabia
17.056544,-25.170055,211122.60292755166,211122.6029277044,211122.60292841733,200112.480927275,197698.59883326324,195054.6575868643,36353.0,Cape Verde
17.077293,-61.798388,204701.3154208843,204701.31542086255,204701.31542090973,204538.7969259511,204426.69911583004,204310.51867988065,88991.0,Antigua and Barbuda
17.150396,-62.58646,201660.1498183009,201660.14981829657,201660.1498184199,201656.024788521,201585.80667051647,201495.7474394031,12857.0,Saint Kitts and Nevis
17.339227,-62.765059,202255.79372783785,202255.79372783878,202255.79372780264,201653.96520192624,201490.7674174382,201317.14970770953,37292.0,Saint Kitts and Nevis
17.490842,-62.976283,162342.01036026306,162342.01036446227,162342.0103766819,154487.3317638922,152398.69495448514,150169.85430853697,2995.0,Netherlands Antilles
17.631469,-63.237528,160188.42422618618,160158.27116735274,160188.4241887075,150806.11281580766,148614.56742417085,146373.20407509594,1795.0,Netherlands Antilles
17.631531,-61.793378,200040.17757591567,200040.17757601046,200040.17757597266,199994.8779125667,199914.39317775157,199789.05661012515,1738.0,Antigua and Barbuda
17.73286,-64.768456,203362.49695371423,203362.4969537196,203362.49695361083,201986.00269283517,201386.67803004337,200793.37330482516,49575.0,Virgin Islands; U.S.
17.901978,-62.829698,201501.92104401183,201501.92104400508,201501.92104365767,201460.38035154276,201375.73434289763,201255.01906917256,5534.0,Guadeloupe
18.061742,-63.062734,160241.33092376895,160241.33092435915,160241.3309269799,150620.43440140944,148406.1413860731,146090.49139626697,69383.0,Netherlands Antilles; Guadeloupe
18.077332,-73.635052,194117.15191744303,194117.15191744638,198015.88350626902,197723.11561877956,197438.40153297642,197151.99094555306,10982.0,Haiti
18.123319,-65.441002,206151.4235166418,206151.42351643014,206151.42351606453,204382.23160381048,203741.2409329082,203099.16648512916,7525.0,Puerto Rico
